node_id,element_type,guid,length,width,height,embedded_door_guid,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,embedded_in_wall_guid
1732,Door,52A7DBB6-F111-E549-81E5-05B7606F9D1D,,0.90 ,2.10 ,,DOO - 001,0,18.11,13.91,19.8,19.01,14.84,21.9,,,,,,,88CE53F4-2E43-F842-B3DD-1F00F757E11A
1733,Door,2F11FC52-79AC-9C49-B75A-A9B1D0EA2EC3,,0.70 ,2.10 ,,DOO - 001,0,20.33,14.66,23.5,20.43,15.41,25.6,,,,,,,D774F5B5-D7F7-1A45-B46C-A4877CCADF1D
1734,Door,FACD1CE1-EE27-144A-87C2-443F08EAA801,,0.70 ,2.10 ,,DOO - 001,0,20.33,12.23,23.5,20.43,12.98,25.6,,,,,,,D774F5B5-D7F7-1A45-B46C-A4877CCADF1D
1735,Door,2BCFE931-EA9E-3B42-B76E-871251BB29F9,,0.70 ,2.10 ,,DOO - 001,0,10.63,14.66,23.5,10.73,15.41,25.6,,,,,,,A59D3799-3F62-C74B-BDEF-BFA6C7F3D446
1736,Door,EB6526B9-0845-1D46-BD40-307E05806506,,0.70 ,2.10 ,,DOO - 001,0,10.63,12.23,23.5,10.73,12.98,25.6,,,,,,,A59D3799-3F62-C74B-BDEF-BFA6C7F3D446
1737,Door,92B2D521-4B8A-064D-B8FE-3A5C5FA069E4,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,23.5,12.03,12.12,25.9,,,,,,,A82B0314-29E9-A845-8AE5-C81B8CB2C9BE
1738,Door,FB222A02-88CB-8248-A12F-067136620FB1,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,23.5,12.96,13.07,25.6,,,,,,,1DEFE996-50DE-9840-82AE-5A2F9A239CF6
1739,Door,FF2C6A90-DD2E-E640-BB60-3F55CE7D7455,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,23.5,19.01,13.07,25.6,,,,,,,8ABD81E5-D837-1046-9641-67D0A2E2DDFC
1740,Door,A61D4F6C-D967-D74A-867B-E65D0CD69ABA,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,23.5,20.05,12.12,25.9,,,,,,,2882F80D-B404-B747-B1AD-4A325ED95CA7
1741,Door,83849863-04F7-3D42-9E9B-E30DB0A65F1F,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,23.5,12.96,14.84,25.6,,,,,,,43FBA5F3-57DF-F74D-B912-AC2ED3F754E4
