node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,marker_guid,embedded_in_wall_guid
265,Wall,F0C0D865-7C50-41C6-9370-86FD0A2863F9,5.10,0.17,3.05,"6.5"" SIPS EXTERIOR WALL",0,-6.49,2.14,0.0,-1.39,2.79,3.05,,,
266,Wall,15CF129E-05F1-4D3C-8FF1-8A72D2A22CDA,5.07,0.02,3.05,"6.4"" SIPS EXTERIOR WALL",0,-6.03,-2.8,0.0,-0.98,-2.3,3.05,,,
267,Wall,D7F79749-8B51-4781-A49F-8C87E989DA59,5.11,0.02,3.05,"6.4"" SIPS EXTERIOR WALL",0,-6.51,-2.78,0.0,-6.01,2.31,3.05,,,
268,Wall,ABF84CA0-04BC-414A-A831-ABFD3E8BB220,5.12,0.02,3.05,"6.4"" SIPS EXTERIOR WALL",0,-6.51,2.3,0.0,-1.41,2.81,3.05,,,
269,Wall,17555B5A-7CD9-4629-A85B-1609930ADBDA,5.10,0.02,3.35,"6.8"" SIPS EXTERIOR WALL",0,4.18,-1.01,-0.61,5.29,3.98,2.74,,,
270,Wall,0175342D-4F36-4B4F-AA4D-3EE8651406B5,5.12,0.02,3.35,"6.8"" SIPS EXTERIOR WALL",0,-0.81,2.88,-0.61,4.2,3.99,2.74,,,
271,Wall,8644C050-D100-4ADB-B77F-7E94539B68B6,0.61,0.02,4.88,"6.6"" SIPS EXTERIOR WALL",0,-1.41,2.79,-0.61,-0.81,2.9,4.27,,,
272,Wall,B5AD0CBF-E760-4128-832E-20477CE08C4C,0.62,0.02,4.88,"6.6"" SIPS EXTERIOR WALL",0,5.27,-1.61,-0.61,5.45,-1.01,4.27,,,
273,Wall,7EF78572-199E-4844-A80B-5C4410B81CB7,5.12,0.02,1.52,"6.3"" SIPS EXTERIOR WALL",0,0.28,-2.1,2.74,5.29,-0.99,4.27,,,
274,Wall,F0E9B21F-7B07-46C6-9955-5415ED7AF8FD,5.12,0.02,1.52,"6.3"" SIPS EXTERIOR WALL",0,-0.81,-2.1,2.74,0.3,2.91,4.27,,,
