node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,embedded_in_wall_guid,marker_guid
73,DimNode 57,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,00000000-0000-0000-0000-000000000000,6.13,6.13,423.26,-364.52,Dim Node 57,423.25,-364.52,0.0,423.26,-364.51,0.0,,,,,,,,,,
74,DimNode 58,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,00000000-0000-0000-0000-000000000000,6.14,6.14,425.94,-370.04,Dim Node 58,425.94,-370.04,0.0,425.95,-370.03,0.0,,,,,,,,,,
75,DimNode 59,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,00000000-0000-0000-0000-000000000000,5.58,5.58,428.38,-375.05,Dim Node 59,428.38,-375.06,0.0,428.39,-375.05,0.0,,,,,,,,,,
76,Dimension,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,,,42.63,,,Dim 17,409.58,-375.13,12.5,428.53,-336.63,12.5,,,,,,,,,,
77,DimNode 60,B44C0719-719A-48FA-AFF6-4B53D75674BC,3BAF298E-3A8D-4216-870F-490007FD2343,0.00,0.00,409.64,-336.74,Dim Node 60,409.63,-336.75,0.0,409.64,-336.74,0.0,,,,,,,,,,
78,DimNode 61,B44C0719-719A-48FA-AFF6-4B53D75674BC,00000000-0000-0000-0000-000000000000,7.50,7.50,407.88,-329.45,Dim Node 61,407.88,-329.46,0.0,407.89,-329.45,0.0,,,,,,,,,,
79,Dimension,B44C0719-719A-48FA-AFF6-4B53D75674BC,,,7.50,,,Dim 18,407.73,-336.82,12.5,409.79,-329.37,12.5,,,,,,,,,,
80,DimNode 62,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,00000000-0000-0000-0000-000000000000,0.00,0.00,408.08,-329.4,Dim Node 62,408.08,-329.41,0.0,408.09,-329.4,0.0,,,,,,,,,,
81,DimNode 63,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-322.98,Dim Node 63,408.08,-322.98,0.0,408.09,-322.97,0.0,,,,,,,,,,
82,DimNode 64,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-316.56,Dim Node 64,408.08,-316.56,0.0,408.09,-316.55,0.0,,,,,,,,,,
83,DimNode 65,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-310.13,Dim Node 65,408.08,-310.14,0.0,408.09,-310.13,0.0,,,,,,,,,,
84,DimNode 66,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-303.71,Dim Node 66,408.08,-303.72,0.0,408.09,-303.71,0.0,,,,,,,,,,
85,DimNode 67,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,00000000-0000-0000-0000-000000000000,0.00,0.00,408.08,-303.71,Dim Node 67,408.08,-303.72,0.0,408.09,-303.71,0.0,,,,,,,,,,
86,DimNode 68,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-297.29,Dim Node 68,408.08,-297.29,0.0,408.09,-297.28,0.0,,,,,,,,,,
87,DimNode 69,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,00000000-0000-0000-0000-000000000000,6.50,6.50,408.08,-290.79,Dim Node 69,408.08,-290.8,0.0,408.09,-290.79,0.0,,,,,,,,,,
88,Dimension,66AAF9FB-ABBC-4323-8B3A-794541F4AB0A,,,38.61,,,Dim 19,407.93,-329.48,15.0,408.23,-290.71,15.0,,,,,,,,,,
