node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
4097,DimText 1340,73FCD675-6BFB-974F-86E8-2E5D83675A99,,6,,11.88,13.81,Dim Text 1340,11.88,13.81,0.0,12.38,14.31,0.0,,,,,,,,,,
4098,DimText 1341,99E2E606-1BF9-E34F-B561-52E2238957E5,,0,,9.54,13.02,Dim Text 1341,9.54,13.02,0.0,10.04,13.52,0.0,,,,,,,,,,
4099,DimText 1342,99E2E606-1BF9-E34F-B561-52E2238957E5,,34,,9.54,13.16,Dim Text 1342,9.54,13.16,0.0,10.04,13.66,0.0,,,,,,,,,,
4100,DimText 1343,99E2E606-1BF9-E34F-B561-52E2238957E5,,51,,9.54,13.59,Dim Text 1343,9.54,13.59,0.0,10.04,14.09,0.0,,,,,,,,,,
4101,DimText 1344,3FAE88C8-6F37-1A45-900A-221CF18B563B,,0,,9.46,13.46,Dim Text 1344,9.46,13.46,0.0,9.96,13.96,0.0,,,,,,,,,,
4102,DimText 1345,3FAE88C8-6F37-1A45-900A-221CF18B563B,,180,,10.29,13.46,Dim Text 1345,10.29,13.46,0.0,10.79,13.96,0.0,,,,,,,,,,
4103,DimText 1346,3FAE88C8-6F37-1A45-900A-221CF18B563B,,60,,11.52,13.46,Dim Text 1346,11.52,13.46,0.0,12.02,13.96,0.0,,,,,,,,,,
4104,DimText 1347,3FAE88C8-6F37-1A45-900A-221CF18B563B,,60,,12.12,13.46,Dim Text 1347,12.12,13.46,0.0,12.62,13.96,0.0,,,,,,,,,,
4105,DimText 1348,140C9DAF-0512-DD45-8E9E-00DDFE2CF081,,0,,12.44,13.36,Dim Text 1348,12.44,13.36,0.0,12.94,13.86,0.0,,,,,,,,,,
4106,DimText 1349,140C9DAF-0512-DD45-8E9E-00DDFE2CF081,,57,,12.44,13.61,Dim Text 1349,12.44,13.61,0.0,12.94,14.11,0.0,,,,,,,,,,
4107,DimText 1350,1E4B4012-9723-6E47-B7D5-E265D6DD95B4,,0,,8.11,14.79,Dim Text 1350,8.11,14.79,0.0,8.61,15.29,0.0,,,,,,,,,,
4108,DimText 1351,1E4B4012-9723-6E47-B7D5-E265D6DD95B4,,72,,8.39,14.79,Dim Text 1351,8.39,14.79,0.0,8.89,15.29,0.0,,,,,,,,,,
4109,DimText 1352,1E4B4012-9723-6E47-B7D5-E265D6DD95B4,,3,,8.77,14.79,Dim Text 1352,8.77,14.79,0.0,9.27,15.29,0.0,,,,,,,,,,
4110,DimText 1353,1E4B4012-9723-6E47-B7D5-E265D6DD95B4,,4,,8.88,14.91,Dim Text 1353,8.88,14.91,0.0,9.38,15.41,0.0,,,,,,,,,,
4111,DimText 1354,1E4B4012-9723-6E47-B7D5-E265D6DD95B4,,6,,9.01,14.79,Dim Text 1354,9.01,14.79,0.0,9.51,15.29,0.0,,,,,,,,,,
4112,DimText 1355,5ECC9230-5384-0940-B525-9837258145E4,,0,,8.09,13.66,Dim Text 1355,8.09,13.66,0.0,8.59,14.16,0.0,,,,,,,,,,
4113,DimText 1356,5ECC9230-5384-0940-B525-9837258145E4,,27,,8.09,13.76,Dim Text 1356,8.09,13.76,0.0,8.59,14.26,0.0,,,,,,,,,,
4114,DimText 1357,5ECC9230-5384-0940-B525-9837258145E4,,90,,8.09,14.34,Dim Text 1357,8.09,14.34,0.0,8.59,14.84,0.0,,,,,,,,,,
4115,DimText 1358,5ECC9230-5384-0940-B525-9837258145E4,,120,,8.09,15.37,Dim Text 1358,8.09,15.37,0.0,8.59,15.87,0.0,,,,,,,,,,
4116,DimText 1359,5ECC9230-5384-0940-B525-9837258145E4,,70,,8.09,16.35,Dim Text 1359,8.09,16.35,0.0,8.59,16.85,0.0,,,,,,,,,,
4117,DimText 1360,625B424F-73C6-FC41-BA3E-AA1A1ECD3567,,0,,8.11,16.2,Dim Text 1360,8.11,16.2,0.0,8.61,16.7,0.0,,,,,,,,,,
4118,DimText 1361,625B424F-73C6-FC41-BA3E-AA1A1ECD3567,,4,,8.05,16.2,Dim Text 1361,8.05,16.2,0.0,8.55,16.7,0.0,,,,,,,,,,
4119,DimText 1362,625B424F-73C6-FC41-BA3E-AA1A1ECD3567,,3,,8.24,16.2,Dim Text 1362,8.24,16.2,0.0,8.74,16.7,0.0,,,,,,,,,,
4120,DimText 1363,625B424F-73C6-FC41-BA3E-AA1A1ECD3567,,72,,8.5,16.2,Dim Text 1363,8.5,16.2,0.0,9.0,16.7,0.0,,,,,,,,,,
4121,DimText 1364,625B424F-73C6-FC41-BA3E-AA1A1ECD3567,,6,,8.84,16.2,Dim Text 1364,8.84,16.2,0.0,9.34,16.7,0.0,,,,,,,,,,
4122,DimText 1365,B3975FF3-A963-1644-A1C5-D57B5C0FBBEB,,0,,9.04,14.83,Dim Text 1365,9.04,14.83,0.0,9.54,15.33,0.0,,,,,,,,,,
4123,DimText 1366,B3975FF3-A963-1644-A1C5-D57B5C0FBBEB,,60,,9.04,15.1,Dim Text 1366,9.04,15.1,0.0,9.54,15.6,0.0,,,,,,,,,,
4124,DimText 1367,B3975FF3-A963-1644-A1C5-D57B5C0FBBEB,,60,,9.04,15.7,Dim Text 1367,9.04,15.7,0.0,9.54,16.2,0.0,,,,,,,,,,
4125,DimText 1368,1712749C-4D57-0742-B1DD-197BA6394F0A,,0,,9.76,15.02,Dim Text 1368,9.76,15.02,0.0,10.26,15.52,0.0,,,,,,,,,,
4126,DimText 1369,1712749C-4D57-0742-B1DD-197BA6394F0A,,150,,10.44,15.02,Dim Text 1369,10.44,15.02,0.0,10.94,15.52,0.0,,,,,,,,,,
4127,DimText 1370,1712749C-4D57-0742-B1DD-197BA6394F0A,,140,,11.89,15.02,Dim Text 1370,11.89,15.02,0.0,12.39,15.52,0.0,,,,,,,,,,
4128,DimText 1371,B2911311-0552-2241-986C-E4F1F1D3BE14,,0,,10.06,15.01,Dim Text 1371,10.06,15.01,0.0,10.56,15.51,0.0,,,,,,,,,,
4129,DimText 1372,B2911311-0552-2241-986C-E4F1F1D3BE14,,90,,10.47,15.01,Dim Text 1372,10.47,15.01,0.0,10.97,15.51,0.0,,,,,,,,,,
4130,DimText 1373,03F2BDDF-B1D4-A445-BA77-7A5150542BD5,,0,,9.68,13.93,Dim Text 1373,9.68,13.93,0.0,10.18,14.43,0.0,,,,,,,,,,
4131,DimText 1374,03F2BDDF-B1D4-A445-BA77-7A5150542BD5,,115,,9.68,14.45,Dim Text 1374,9.68,14.45,0.0,10.18,14.95,0.0,,,,,,,,,,
4132,DimText 1375,03F2BDDF-B1D4-A445-BA77-7A5150542BD5,,80,,9.68,15.38,Dim Text 1375,9.68,15.38,0.0,10.18,15.88,0.0,,,,,,,,,,
4133,DimText 1376,03F2BDDF-B1D4-A445-BA77-7A5150542BD5,,15,,9.68,15.77,Dim Text 1376,9.68,15.77,0.0,10.18,16.27,0.0,,,,,,,,,,
4134,DimText 1377,03F2BDDF-B1D4-A445-BA77-7A5150542BD5,,70,,9.68,16.35,Dim Text 1377,9.68,16.35,0.0,10.18,16.85,0.0,,,,,,,,,,
4135,DimText 1378,B2E28C18-20A1-3C41-A70D-6092492862DA,,0,,12.99,15.08,Dim Text 1378,12.99,15.08,0.0,13.49,15.58,0.0,,,,,,,,,,
4136,DimText 1379,B2E28C18-20A1-3C41-A70D-6092492862DA,,15,,12.99,14.97,Dim Text 1379,12.99,14.97,0.0,13.49,15.47,0.0,,,,,,,,,,
4137,DimText 1380,B2E28C18-20A1-3C41-A70D-6092492862DA,,80,,12.99,15.6,Dim Text 1380,12.99,15.6,0.0,13.49,16.1,0.0,,,,,,,,,,
4138,DimText 1381,B2E28C18-20A1-3C41-A70D-6092492862DA,,70,,12.99,16.35,Dim Text 1381,12.99,16.35,0.0,13.49,16.85,0.0,,,,,,,,,,
4139,DimText 1382,B2E28C18-20A1-3C41-A70D-6092492862DA,,42,,12.99,16.9,Dim Text 1382,12.99,16.9,0.0,13.49,17.4,0.0,,,,,,,,,,
4140,DimText 1383,3669C8A5-9764-BA4A-8FD7-46C12CA8B948,,0,,8.96,16.2,Dim Text 1383,8.96,16.2,0.0,9.46,16.7,0.0,,,,,,,,,,
4141,DimText 1384,3669C8A5-9764-BA4A-8FD7-46C12CA8B948,,80,,9.25,16.2,Dim Text 1384,9.25,16.2,0.0,9.75,16.7,0.0,,,,,,,,,,
4142,DimText 1385,3669C8A5-9764-BA4A-8FD7-46C12CA8B948,,15,,9.65,16.2,Dim Text 1385,9.65,16.2,0.0,10.15,16.7,0.0,,,,,,,,,,
4143,DimText 1386,3669C8A5-9764-BA4A-8FD7-46C12CA8B948,,135,,10.52,16.2,Dim Text 1386,10.52,16.2,0.0,11.02,16.7,0.0,,,,,,,,,,
4144,DimText 1387,3669C8A5-9764-BA4A-8FD7-46C12CA8B948,,140,,11.89,16.2,Dim Text 1387,11.89,16.2,0.0,12.39,16.7,0.0,,,,,,,,,,
4145,DimText 1388,AEEE48AF-3524-C742-85E8-4130B77FAEAD,,0,,7.11,12.14,Dim Text 1388,7.11,12.14,0.0,7.61,12.64,0.0,,,,,,,,,,
4146,DimText 1389,AEEE48AF-3524-C742-85E8-4130B77FAEAD,,20,,7.17,12.14,Dim Text 1389,7.17,12.14,0.0,7.67,12.64,0.0,,,,,,,,,,
4147,DimText 1390,AEEE48AF-3524-C742-85E8-4130B77FAEAD,,45,,6.71,12.25,Dim Text 1390,6.71,12.25,0.0,7.21,12.75,0.0,,,,,,,,,,
4148,DimText 1391,AEEE48AF-3524-C742-85E8-4130B77FAEAD,,44,,6.41,12.51,Dim Text 1391,6.41,12.51,0.0,6.91,13.01,0.0,,,,,,,,,,
4149,DimText 1392,AEEE48AF-3524-C742-85E8-4130B77FAEAD,,55,,6.23,12.9,Dim Text 1392,6.23,12.9,0.0,6.73,13.4,0.0,,,,,,,,,,
4150,DimText 1393,79DDBFBE-76F2-804C-8157-B72D60605712,,0,,6.18,13.03,Dim Text 1393,6.18,13.03,0.0,6.68,13.53,0.0,,,,,,,,,,
4151,DimText 1394,79DDBFBE-76F2-804C-8157-B72D60605712,,370,,6.18,14.81,Dim Text 1394,6.18,14.81,0.0,6.68,15.31,0.0,,,,,,,,,,
4152,DimText 1395,22EBD5E3-800B-564F-8854-478229AFE608,,0,,6.14,13.26,Dim Text 1395,6.14,13.26,0.0,6.64,13.76,0.0,,,,,,,,,,
4153,DimText 1396,22EBD5E3-800B-564F-8854-478229AFE608,,92,,6.56,13.26,Dim Text 1396,6.56,13.26,0.0,7.06,13.76,0.0,,,,,,,,,,
4154,DimText 1397,87C5629D-C4FC-834A-948E-B99AD376F102,,0,,6.87,13.08,Dim Text 1397,6.87,13.08,0.0,7.37,13.58,0.0,,,,,,,,,,
4155,DimText 1398,87C5629D-C4FC-834A-948E-B99AD376F102,,265,,6.87,14.33,Dim Text 1398,6.87,14.33,0.0,7.37,14.83,0.0,,,,,,,,,,
4156,DimText 1399,8A3ABA0D-B25B-974B-810A-C9B413E58638,,0,,6.98,13.08,Dim Text 1399,6.98,13.08,0.0,7.48,13.58,0.0,,,,,,,,,,
4157,DimText 1400,8A3ABA0D-B25B-974B-810A-C9B413E58638,,79,,6.98,13.44,Dim Text 1400,6.98,13.44,0.0,7.48,13.94,0.0,,,,,,,,,,
4158,DimText 1401,8A3ABA0D-B25B-974B-810A-C9B413E58638,,61,,6.98,14.15,Dim Text 1401,6.98,14.15,0.0,7.48,14.65,0.0,,,,,,,,,,
4159,DimText 1402,8A3ABA0D-B25B-974B-810A-C9B413E58638,,125,,6.98,15.04,Dim Text 1402,6.98,15.04,0.0,7.48,15.54,0.0,,,,,,,,,,
4160,DimText 1403,08F2D3BC-1A1E-D14B-8A60-2ED5005E3CF0,,0,,7.47,14.78,Dim Text 1403,7.47,14.78,0.0,7.97,15.28,0.0,,,,,,,,,,
4161,DimText 1404,08F2D3BC-1A1E-D14B-8A60-2ED5005E3CF0,,95,,7.47,15.22,Dim Text 1404,7.47,15.22,0.0,7.97,15.72,0.0,,,,,,,,,,
4162,DimText 1405,6107648D-7871-464C-AE95-DF8011D2241B,,0,,7.39,14.78,Dim Text 1405,7.39,14.78,0.0,7.89,15.28,0.0,,,,,,,,,,
