node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax
60,DimNode 48,FD277C6C-8E59-BE47-8C50-F1D9ED338840,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 48,7.3,19.01,0.0,7.31,19.02,0.0
61,DimNode 49,FD277C6C-8E59-BE47-8C50-F1D9ED338840,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 49,37.43,19.01,0.0,37.44,19.02,0.0
62,Dimension,FD277C6C-8E59-BE47-8C50-F1D9ED338840,,,30.12,,,Dim 13,7.25,18.92,12.4,37.5,19.1,12.4
63,DimNode 50,1B238664-991F-C149-9B2A-20F68E3AA499,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 50,7.3,18.24,0.0,7.31,18.25,0.0
64,DimNode 51,1B238664-991F-C149-9B2A-20F68E3AA499,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.63,11.93,18.25,Dim Node 51,11.93,18.24,0.0,11.94,18.25,0.0
65,DimNode 52,1B238664-991F-C149-9B2A-20F68E3AA499,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 52,19.13,18.24,0.0,19.14,18.25,0.0
66,DimNode 53,1B238664-991F-C149-9B2A-20F68E3AA499,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 53,27.25,18.24,0.0,27.26,18.25,0.0
67,DimNode 54,1B238664-991F-C149-9B2A-20F68E3AA499,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 54,33.25,18.24,0.0,33.26,18.25,0.0
68,DimNode 55,1B238664-991F-C149-9B2A-20F68E3AA499,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 55,37.43,18.24,0.0,37.44,18.25,0.0
69,Dimension,1B238664-991F-C149-9B2A-20F68E3AA499,,,30.12,,,Dim 14,7.25,18.15,12.4,37.5,18.34,12.4
70,DimNode 56,49BBF29A-401F-5B46-8B7A-204DFD39CB26,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 56,7.3,18.24,0.0,7.31,18.25,0.0
71,DimNode 57,49BBF29A-401F-5B46-8B7A-204DFD39CB26,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.63,11.93,18.25,Dim Node 57,11.93,18.24,0.0,11.94,18.25,0.0
72,DimNode 58,49BBF29A-401F-5B46-8B7A-204DFD39CB26,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 58,19.13,18.24,0.0,19.14,18.25,0.0
73,DimNode 59,49BBF29A-401F-5B46-8B7A-204DFD39CB26,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 59,27.25,18.24,0.0,27.26,18.25,0.0
74,DimNode 60,49BBF29A-401F-5B46-8B7A-204DFD39CB26,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 60,33.25,18.24,0.0,33.26,18.25,0.0
75,DimNode 61,49BBF29A-401F-5B46-8B7A-204DFD39CB26,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 61,37.43,18.24,0.0,37.44,18.25,0.0
76,Dimension,49BBF29A-401F-5B46-8B7A-204DFD39CB26,,,30.12,,,Dim 15,7.25,18.15,16.1,37.5,18.34,16.1
77,DimNode 62,35132ADB-893A-E342-B006-744F5C4FDFD3,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 62,7.3,19.01,0.0,7.31,19.02,0.0
78,DimNode 63,35132ADB-893A-E342-B006-744F5C4FDFD3,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 63,37.43,19.01,0.0,37.44,19.02,0.0
79,Dimension,35132ADB-893A-E342-B006-744F5C4FDFD3,,,30.12,,,Dim 16,7.25,18.92,16.1,37.5,19.1,16.1
80,DimNode 64,306778A7-8543-C044-AFFD-86FEDA3D237D,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 64,7.3,19.01,0.0,7.31,19.02,0.0
81,DimNode 65,306778A7-8543-C044-AFFD-86FEDA3D237D,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 65,37.43,19.01,0.0,37.44,19.02,0.0
82,Dimension,306778A7-8543-C044-AFFD-86FEDA3D237D,,,30.12,,,Dim 17,7.25,18.92,27.2,37.5,19.1,27.2
83,DimNode 66,1E8D1A4C-2CF7-C34B-A7BE-B3EFFA4BFF86,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 66,7.3,18.24,0.0,7.31,18.25,0.0
84,DimNode 67,1E8D1A4C-2CF7-C34B-A7BE-B3EFFA4BFF86,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.63,11.93,18.25,Dim Node 67,11.93,18.24,0.0,11.94,18.25,0.0
85,DimNode 68,1E8D1A4C-2CF7-C34B-A7BE-B3EFFA4BFF86,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 68,19.13,18.24,0.0,19.14,18.25,0.0
86,DimNode 69,1E8D1A4C-2CF7-C34B-A7BE-B3EFFA4BFF86,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 69,27.25,18.24,0.0,27.26,18.25,0.0
87,DimNode 70,1E8D1A4C-2CF7-C34B-A7BE-B3EFFA4BFF86,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 70,33.25,18.24,0.0,33.26,18.25,0.0
88,DimNode 71,1E8D1A4C-2CF7-C34B-A7BE-B3EFFA4BFF86,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 71,37.43,18.24,0.0,37.44,18.25,0.0
89,Dimension,1E8D1A4C-2CF7-C34B-A7BE-B3EFFA4BFF86,,,30.12,,,Dim 18,7.25,18.15,27.2,37.5,18.34,27.2
90,DimNode 72,C01A95D5-EDBF-834E-AFCB-50934B032833,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 72,7.3,19.01,0.0,7.31,19.02,0.0
91,DimNode 73,C01A95D5-EDBF-834E-AFCB-50934B032833,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 73,37.43,19.01,0.0,37.44,19.02,0.0
92,Dimension,C01A95D5-EDBF-834E-AFCB-50934B032833,,,30.12,,,Dim 19,7.25,18.92,30.9,37.5,19.1,30.9
93,DimNode 74,54D97F0D-D520-214F-9BAC-8F3172066CCE,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 74,7.3,18.24,0.0,7.31,18.25,0.0
94,DimNode 75,54D97F0D-D520-214F-9BAC-8F3172066CCE,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.62,11.93,18.25,Dim Node 75,11.93,18.24,0.0,11.94,18.25,0.0
95,DimNode 76,54D97F0D-D520-214F-9BAC-8F3172066CCE,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 76,19.13,18.24,0.0,19.14,18.25,0.0
96,DimNode 77,54D97F0D-D520-214F-9BAC-8F3172066CCE,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 77,27.25,18.24,0.0,27.26,18.25,0.0
97,DimNode 78,54D97F0D-D520-214F-9BAC-8F3172066CCE,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 78,33.25,18.24,0.0,33.26,18.25,0.0
98,DimNode 79,54D97F0D-D520-214F-9BAC-8F3172066CCE,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 79,37.43,18.24,0.0,37.44,18.25,0.0
99,Dimension,54D97F0D-D520-214F-9BAC-8F3172066CCE,,,30.12,,,Dim 20,7.25,18.15,30.9,37.5,18.34,30.9
100,DimNode 80,AC4C3C1A-888E-C748-9DF0-299EE7F2DC1D,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 80,7.3,19.01,0.0,7.31,19.02,0.0
101,DimNode 81,AC4C3C1A-888E-C748-9DF0-299EE7F2DC1D,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 81,37.43,19.01,0.0,37.44,19.02,0.0
102,Dimension,AC4C3C1A-888E-C748-9DF0-299EE7F2DC1D,,,30.12,,,Dim 21,7.25,18.92,34.6,37.5,19.1,34.6
103,DimNode 82,8769BA9C-016D-BF4A-887C-056AB45CEBFD,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 82,7.3,18.24,0.0,7.31,18.25,0.0
104,DimNode 83,8769BA9C-016D-BF4A-887C-056AB45CEBFD,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.63,11.93,18.25,Dim Node 83,11.93,18.24,0.0,11.94,18.25,0.0
