node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
13373,Slab,156BA946-52D1-43D8-82E2-245B9B4EB94B,,,,SLA - 001,0,-81.98,-17.22,2.88,-78.55,-15.4,2.93,,,,,,,,,
13374,Slab,F3873748-E95C-4297-BEBA-5AFE2D6E6F34,,,,SLA - 001,0,-84.33,-18.48,5.95,-8.27,-7.32,6.0,,,,,,,,,
13375,Slab,3AF072C3-15F0-4A80-B244-2E209BC9B850,,,,SLA - 020,0,-90.13,-27.33,6.6,1.33,-19.27,6.8,,,,,,,,,
13376,Slab,5355F55A-A5D3-4761-90DC-61C7506717F4,,,,SLA - 001,0,-25.8,-25.8,47.85,-0.2,-0.0,48.2,,,,,,,,,
13377,Slab,152A3EF0-FC76-4BC6-9586-B320C27EDB73,,,,SLA - 020,2,-62.85,-25.68,6.6,-25.95,-18.55,7.1,,,,,,,,,
13378,Slab,4753A4F0-C524-4E7C-BEC9-96C254B96510,,,,SLA - 005,0,-25.8,-49.95,-10.75,16.32,11.2,-10.15,,,,,,,,,
13379,Slab,138EDED6-F3CF-4AFE-B72B-FC4C31B1B79D,,,,SLA - 001,0,-88.6,-25.8,38.25,-63.0,-0.0,38.6,,,,,,,,,
13380,Slab,AF95A682-10D7-4A53-AB11-14A87D668F41,,,,SLA - 006,2,-25.8,-19.9,0.05,-0.2,6.5,0.2,,,,,,,,,
13381,Slab,3DAD5B07-2C72-451D-85AE-D75BAAD64976,,,,SLA - 020,2,-62.85,-18.35,6.6,-21.9,-17.17,6.8,,,,,,,,,
13382,Slab,72B4004F-83B8-4AC2-9C57-77FFB9496CCF,,,,SLA - 001,0,-25.8,-25.8,3.05,-0.2,-7.3,3.4,,,,,,,,,
13383,Slab,89730056-F8DB-4599-9461-45AD1EA78FD7,,,,SLA - 001,0,-62.9,-27.5,3.05,-25.9,-18.5,3.4,,,,,,,,,
13384,Slab,FF6213B8-DF5A-43D7-971B-B88AE55EC537,,,,SLA - 020,0,-62.85,-17.08,3.4,-25.6,-7.35,3.5,,,,,,,,,
13385,Slab,1DEFD0A6-F553-44BB-B610-0FCE7D471AD0,,,,SLA - 006,0,-101.7,-51.45,-3.95,-63.0,-19.1,-3.8,,,,,,,,,
13386,Slab,2EAF8A2C-1AB7-4832-8077-0586B9E7DFBD,,,,SLA - 019,2,-95.04,-18.93,-0.1,-84.55,13.91,0.3,,,,,,,,,
13387,Slab,AF2D42DA-DCF7-4650-8D5C-3FC348ECEF7A,,,,SLA - 001,0,-90.3,-27.5,3.03,-63.0,-7.3,3.4,,,,,,,,,
13388,Slab,D1ABDF40-C0F9-4DFD-AE36-0FF7F9F9848B,,,,SLA - 001,0,-25.8,-7.3,3.05,-6.4,0.0,3.4,,,,,,,,,
13389,Slab,8527F715-D1F4-4420-82F1-E029D71A1B54,,,,SLA - 020,0,-12.0,-17.2,48.05,-9.0,-8.6,48.2,,,,,,,,,
13390,Slab,3F4D0EF4-401B-4021-9E99-CC3DB28A83C1,,,,SLA - 001,0,-88.6,-7.3,3.05,-63.0,-0.0,3.4,,,,,,,,,
13391,Slab,9F69B9D3-DE99-47BB-BFAA-C638068880C6,,,,SLA - 001,0,-62.9,-7.3,3.05,-25.9,0.0,3.4,,,,,,,,,
13392,Slab,CC31909D-EE96-4224-BA57-1EB40C265AAA,,,,SLA - 002,2,-25.63,-25.63,48.2,-0.37,-0.17,48.4,,,,,,,,,
13393,Slab,BA139E36-5F1B-455A-8AF1-A3C14F7E4E4F,,,,SLA - 002,2,-88.43,-25.63,38.6,-63.17,-0.17,38.8,,,,,,,,,
13394,Slab,C05C31A0-58E1-4C96-84A7-512C75CAFE17,,,,SLA - 021,0,-88.38,-25.58,6.6,-84.32,-18.72,6.7,,,,,,,,,
13395,Slab,1E7FD5F5-EB7E-41C3-B572-DDDA8CF59DEF,,,,SLA - 032,0,-12.88,-21.18,6.6,-10.82,-18.72,6.7,,,,,,,,,
13396,Slab,205D32A2-27E3-4362-8A64-62D2C48C8F65,,,,SLA - 036,0,-89.5,-25.7,3.4,-84.62,-18.72,3.5,,,,,,,,,
13397,Slab,55DA1683-32FB-4146-B899-203084851D70,,,,SLA - 003,0,-84.48,-21.68,3.4,-78.62,-18.72,3.5,,,,,,,,,
13398,Slab,584D3953-7E39-47BC-A21F-38E2B02E9E1B,,,,SLA - 007,0,-69.78,-27.08,3.4,-67.42,-21.82,3.5,,,,,,,,,
13399,Slab,0518E916-C930-47C2-AF49-8FF6E8F38A08,,,,SLA - 008,0,-67.28,-27.08,3.4,-63.22,-18.72,3.5,,,,,,,,,
13400,Slab,997665A5-5CE6-41A3-9645-E6479A29A181,,,,SLA - 011,0,-25.58,-27.08,3.4,-21.52,-18.72,3.5,,,,,,,,,
13401,Slab,1FBC45BB-5122-4C8D-B94E-89A09A36C768,,,,SLA - 015,0,-21.38,-21.68,3.4,-15.82,-18.72,3.5,,,,,,,,,
13402,Slab,89FFCA1F-E49E-4188-9173-5BA8E51F33D5,,,,SLA - 019,0,-12.88,-21.18,3.4,-10.82,-18.72,3.5,,,,,,,,,
13403,Slab,D5572255-226A-4477-82CF-7E668BB9E4C0,,,,SLA - 025,0,-4.68,-25.7,3.4,0.7,-19.12,3.5,,,,,,,,,
13404,Slab,16BDB801-65C7-4060-AC4B-D6B533B7961E,,,,SLA - 001,2,-84.33,-18.48,6.6,-63.22,-7.32,6.7,,,,,,,,,
13405,Slab,BBBACE05-A801-4527-A059-2A32532C71E7,,,,SLA - 028,0,-88.38,-8.68,6.6,-76.02,-0.22,6.7,,,,,,,,,
13406,Slab,2E7EA9C0-8077-4644-A369-84DA9E71C329,,,,SLA - 028,0,-75.88,-7.18,6.6,-63.22,-0.22,6.7,,,,,,,,,
13407,Slab,27825A1B-8D81-4CBE-AC31-22282F0ADCA2,,,,SLA - 029,0,-25.58,-8.68,6.6,-0.42,-0.22,6.7,,,,,,,,,
13408,Slab,2E91BF21-9E37-4181-9FDC-3BE00817CDD5,,,,SLA - 001,2,-21.53,-18.48,6.6,-8.27,-7.32,6.7,,,,,,,,,
13409,Slab,B52892BE-9444-4277-B0E5-010D40F7D956,,,,SLA - 001,2,-84.33,-18.48,3.4,-8.15,-7.32,3.5,,,,,,,,,
13410,Slab,2AB99AE7-48A8-4CEF-AFC0-381B49494F26,,,,SLA - 028,2,-71.53,-16.98,6.6,-63.22,-7.32,6.7,,,,,,,,,
13411,Slab,43ECAE54-F2FB-4C3E-BB27-4B6B647C289D,,,,SLA - 001,2,-13.38,-18.68,0.2,-0.42,-17.22,0.3,,,,,,,,,
13412,Slab,AB66E390-FA6C-46B7-9455-16B69CAD862B,,,,SLA - 028,2,-71.53,-16.98,3.4,-63.22,-7.32,3.5,,,,,,,,,
13413,Slab,69E12A10-D660-42FB-AB6D-B78E3FF71BF5,,,,SLA - 001,2,-86.75,-18.68,0.2,-63.22,-8.92,0.3,,,,,,,,,
13414,Slab,CC7DA848-2953-4C83-B5F3-E153CBA5CF31,,,,SLA - 001,2,-25.8,-18.88,-3.3,3.98,-7.32,-3.2,,,,,,,,,
13415,Slab,BDD6BC3F-3CEE-4D1A-931A-45B144E048D6,,,,SLA - 001,2,-89.88,-18.88,-3.3,-86.72,-5.52,-3.2,,,,,,,,,
13416,Slab,61232388-4044-4F1F-8194-DCABCDE514C4,,,,SLA - 002,2,-88.38,-25.8,-3.3,-63.22,-17.22,-3.2,,,,,,,,,
13417,Slab,3D1BAFC0-7086-4D57-BBB1-0AD3EF0D234C,,,,SLA - 001,2,-19.18,-18.78,-7.25,-7.37,-7.02,-7.15,,,,,,,,,
13418,Slab,EFE0F99E-7DBB-4BF7-84DD-064309813AAF,,,,SLA - 001,2,-81.98,-18.78,-7.25,-73.87,-7.02,-7.15,,,,,,,,,
13419,Slab,684E5552-0B0B-400C-8D84-2803C5E225C2,,,,SLA - 002,2,-19.18,-18.78,-10.25,-8.87,-7.12,-10.15,,,,,,,,,
13420,Slab,FB293A87-7EC5-4247-9E7C-7BFADD27BD7C,,,,SLA - 001,0,-14.51,-41.91,-3.8,-5.31,-33.28,-3.3,,,,,,,,,
13421,Slab,458B6164-16C7-456B-8905-48559D5A5222,,,,SLA - 001,0,-41.12,-41.84,-3.8,-31.92,-34.37,-3.3,,,,,,,,,
13422,Slab,0B9CBEEA-12F5-4524-A27F-21EB4772F803,,,,SLA - 001,0,-71.73,-44.48,-3.8,-57.57,-34.94,-3.3,,,,,,,,,
13423,Slab,F5C913C5-8CE7-4ECD-AFB0-0C68B21AAA7D,,,,SLA - 007,0,-30.28,-50.58,-3.8,-17.49,-38.93,-3.2,,,,,,,,,
13424,Slab,5C61CB03-A0DF-4968-AFF9-7405CA55AF52,,,,SLA - 007,0,-54.66,-51.18,-3.8,-43.65,-38.98,-3.2,,,,,,,,,
13425,Slab,FE2BBB07-AC56-4F5D-911C-2436F4EBD6E1,,,,SLA - 007,0,-90.56,-52.15,-3.8,-74.94,-38.31,-3.2,,,,,,,,,
13426,Slab,14A01602-F23E-4C84-AD5A-2938E47425BC,,,,SLA - 022,0,-101.22,-51.58,-3.8,-25.8,-19.2,-3.2,,,,,,,,,
13427,Slab,2D2C7606-E677-4D84-9B4D-7F1065FEF926,,,,SLA - 022,0,-71.43,-37.48,-3.8,-58.02,-30.33,-3.2,,,,,,,,,
13428,Slab,1E4DEF1E-1EED-4C4B-9D8D-5EA5639D4B1D,,,,SLA - 022,0,-40.18,-35.48,-3.8,-32.89,-32.64,-3.2,,,,,,,,,
13429,Slab,801ACCC5-0F0E-4FF2-BAF8-DD2D3A984728,,,,SLA - 022,0,-12.95,-35.19,-3.8,-6.11,-32.71,-3.2,,,,,,,,,
13430,Slab,6B42DF6D-33B4-46E9-BA1F-F9278F8B8136,,,,SLA - 001,0,-32.87,-39.45,-3.8,-12.96,-29.43,-3.3,,,,,,,,,
13431,Slab,0CEC06F8-5FED-460B-BCD8-DAECA0D6A570,,,,SLA - 001,0,-59.48,-42.23,-3.8,-40.2,-27.63,-3.3,,,,,,,,,
13432,Slab,588D5163-4913-4137-B353-310594A9B7BD,,,,SLA - 022,0,-76.47,-45.32,-3.8,-0.05,-25.95,-3.2,,,,,,,,,
13433,Slab,66A09572-2C41-4371-BF43-832B66B8305C,,,,SLA - 007,0,-47.21,-50.89,-3.8,-26.58,-34.94,-3.2,,,,,,,,,
13434,Slab,0E92B3D5-85AA-4F50-962B-3816104CAC6A,,,,SLA - 007,0,-63.27,-51.41,-3.8,-52.56,-35.67,-3.2,,,,,,,,,
13435,Slab,23C5E226-2E9E-4C4D-A480-B0F6EF7EBEFD,,,,SLA - 007,0,-76.4,-51.73,-3.8,-69.7,-35.31,-3.2,,,,,,,,,
13436,Slab,0C8D88D2-CCC7-4330-81AC-3B011CA3688F,,,,SLA - 008,0,-86.75,-52.34,-1.0,-60.45,-46.38,-0.8,,,,,,,,,
13437,Slab,4E1ADB5E-9C1C-4CC1-8115-A09575C1230F,,,,SLA - 006,0,-62.7,-26.8,-3.2,-25.9,-22.75,-2.95,,,,,,,,,
13438,Slab,28A6813F-E97D-4EE9-B730-38D21FC323C0,,,,SLA - 022,0,-77.01,-35.37,-3.8,-0.05,-25.82,-3.2,,,,,,,,,
13439,Slab,6472EBF6-F5EB-4BD8-BC9E-DF44B23A39B1,,,,SLA - 022,0,-25.8,-46.19,-3.8,2.59,-19.2,-3.2,,,,,,,,,
13440,Slab,9050197F-916C-46D1-B3FE-1FE4FFBC7C51,,,,SLA - 007,0,-22.02,-50.19,-3.8,-0.58,-33.22,-3.2,,,,,,,,,
13441,Slab,F7724447-4C06-40C9-8C8C-0CD839C2EF3F,,,,SLA - 007,0,-100.17,-52.4,-3.8,-81.28,-34.65,-3.2,,,,,,,,,
13442,Slab,991F535D-A15F-49D3-9AFB-771EA3529CFB,,,,SLA - 007,0,-104.65,-52.52,-3.8,-94.07,-19.2,-3.2,,,,,,,,,
13443,Slab,7C2D53B3-9688-4F9E-BB5C-C6822521FBD1,,,,SLA - 007,0,-94.07,-32.87,-3.8,-80.94,-20.35,-3.2,,,,,,,,,
13444,Slab,11245D66-86FA-4E90-A5B2-AF258CA69F73,,,,SLA - 020,0,-88.4,-7.11,6.6,-6.6,6.3,7.1,,,,,,,,,
13445,Slab,6DD3C3FE-06F0-4362-9D72-262263214E34,,,,SLA - 022,0,-86.75,-52.04,-3.8,-77.75,-46.38,-3.2,,,,,,,,,
13446,Slab,CAA6D0F9-651E-44B4-8261-CFC211280CAF,,,,SLA - 007,0,-30.86,-58.94,-3.8,-16.16,-50.49,-3.2,,,,,,,,,
13447,Slab,06921780-6047-4140-B9A9-3B4163E007AD,,,,SLA - 022,0,-48.87,-88.11,-3.8,-19.44,-51.05,-3.2,,,,,,,,,
13448,Slab,A18C2767-624B-4DDD-90FC-C27CB8ABD64D,,,,SLA - 023,0,-34.58,-86.17,-3.8,-3.55,-50.42,-3.2,,,,,,,,,
13449,Slab,BC6A5A55-C75B-4EF7-B1D2-8016061D5E42,,,,SLA - 007,0,-15.54,-85.97,-3.8,2.16,-50.0,-3.2,,,,,,,,,
13450,Slab,3EB2ABFA-2C56-4D0C-A567-0CB961186A3F,,,,SLA - 007,0,-51.99,-89.94,-3.8,-20.37,-51.19,-3.2,,,,,,,,,
13451,Slab,93C2C552-A8B3-492E-83CF-A9F844B99035,,,,SLA - 022,0,-47.86,-86.69,-3.4,-5.14,-50.93,-3.2,,,,,,,,,
13452,Slab,CF8A5294-9C17-4C17-9F8B-55D4EF97E808,,,,SLA - 005,0,-225.36,-159.9,-8.5,127.95,199.96,-8.0,,,,,,,,,
13453,Slab,E55A7139-3F1F-476D-A52C-927E29F938E2,,,,SLA - 005,0,-223.86,-157.95,-8.0,127.95,199.96,-7.5,,,,,,,,,
13454,Slab,3BADDF48-B673-4D37-98FD-35313B7F337D,,,,SLA - 020,2,-25.58,-18.78,-3.3,-19.32,-8.72,-3.2,,,,,,,,,
13455,Slab,820F1455-1261-4830-9300-E33EEBAC1822,,,,SLA - 021,2,-88.38,-17.08,-3.3,-82.12,-12.02,-3.2,,,,,,,,,
13456,Slab,1B671728-B68F-4218-AD98-A0B8F452D3C8,,,,SLA - 001,0,-86.48,-7.08,-3.3,-63.0,-5.52,-3.2,,,,,,,,,
13457,Slab,BDE2B26B-6C97-409F-9977-0E0FADB2D60E,,,,SLA - 001,0,-62.9,-7.08,-3.3,-25.9,-5.52,-3.2,,,,,,,,,
13458,Slab,00DFE02D-F02B-4989-ABF7-7CE3A80E4EF2,,,,SLA - 001,0,-25.8,-7.08,-3.3,-10.97,-5.52,-3.2,,,,,,,,,
13459,Slab,5432AFF0-BCF8-4759-A3FF-D67E10D64A31,,,,SLA - 008,0,-50.63,-13.48,-7.15,-32.02,-7.02,-7.1,,,,,,,,,
13460,Slab,3CA4967A-08EF-497B-BB9A-F71F250B20D7,,,,SLA - 010,2,-31.88,-13.48,-7.15,-26.02,-7.02,-7.1,,,,,,,,,
13461,Slab,8DF77639-E956-4730-829F-763E315DF0E2,,,,SLA - 015,2,-8.98,-18.98,-7.15,4.08,-13.32,-7.05,,,,,,,,,
13462,Slab,428D0A48-6D33-4D63-9AC5-DACB0DEE9107,,,,SLA - 014,2,-6.58,-43.23,-10.15,-1.52,-37.17,-10.1,,,,,,,,,
