node_id,element_type,guid,length,width,height,embedded_door_guid,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
1839,Slab,0D2F6BB4-0195-5D46-82C6-86FE69082BEB,,,,,SOLAIO 015,0,-56.13,56.25,1.21,-56.08,56.4,1.47,,,,,,,,
1840,Slab,2ABDC8E4-C422-464C-B038-8C9D53C36F25,,,,,SOLAIO 015,0,-56.22,56.25,1.21,-56.17,56.4,1.47,,,,,,,,
1841,Slab,CEAF63FA-27F8-B24D-8635-F485FFC52279,,,,,SOLAIO 015,0,-52.6,51.26,0.11,-52.45,51.31,0.21,,,,,,,,
1842,Slab,15B616C7-EBB6-384C-BC10-42BA7C6009DC,,,,,SOLAIO 015,0,-52.6,51.31,0.11,-52.45,51.36,0.21,,,,,,,,
1843,Slab,D8A76EA5-D494-4B44-ABC1-99A83FFAE807,,,,,SOLAIO 015,0,-52.8,51.26,0.11,-52.65,51.31,0.21,,,,,,,,
1844,Slab,4703CE17-0864-1C45-85E8-C0EDC46EBC59,,,,,SOLAIO 015,0,-52.8,51.31,0.11,-52.65,51.36,0.21,,,,,,,,
1845,Slab,6ADA0B14-2242-5D43-A74C-3812531FC8D1,,,,,SOLAIO 015,0,-53.33,51.26,0.11,-53.28,51.41,0.21,,,,,,,,
1846,Slab,A81DDD14-0B2E-A54A-A6CB-F475E376717E,,,,,SOLAIO 015,0,-53.4,51.27,0.11,-53.35,51.42,0.21,,,,,,,,
1847,Slab,2AB1BA94-13B1-AB4C-ACB8-9D2203196000,,,,,SOLAIO 015,0,-53.9,51.26,0.11,-53.85,51.41,0.21,,,,,,,,
1848,Slab,7AE9582E-C173-ED4F-8463-31DE325AC503,,,,,SOLAIO 015,0,-54.6,51.26,0.11,-54.55,51.41,0.28,,,,,,,,
1849,Slab,DE49AD1C-A472-374A-A171-98FFE7714FF1,,,,,SOLAIO 015,0,-54.54,51.27,0.11,-54.49,51.42,0.28,,,,,,,,
1850,Slab,E07B2EC2-4584-834D-B831-C31DCBE826EC,,,,,SOLAIO 015,0,-53.52,51.24,1.51,-53.47,51.39,1.61,,,,,,,,
1851,Slab,108B0070-B1A1-2545-A798-E2AD0C7E2DFE,,,,,SOLAIO 015,0,-53.59,51.24,1.51,-53.54,51.39,1.61,,,,,,,,
1852,Slab,632174DD-FD87-5949-92A2-757C3C4A1A5A,,,,,SOLAIO 015,0,-53.32,51.24,2.11,-53.27,51.39,2.3,,,,,,,,
1853,Slab,FCA52C5E-8020-E947-884F-58872BF37859,,,,,SOLAIO 015,0,-54.76,50.73,0.11,-54.61,50.78,0.21,,,,,,,,
1854,Slab,B45BF440-C3C0-864E-85B9-52CF4A9F7508,,,,,SOLAIO 015,0,-54.76,50.79,0.11,-54.61,50.84,0.21,,,,,,,,
1855,Slab,A0F7B049-BDE6-424A-A558-E7C4A53CC03E,,,,,SOLAIO 015,0,-54.76,49.93,0.51,-54.61,49.98,0.61,,,,,,,,
1856,Slab,ED983ACD-5FDA-9C4E-8180-5D97B0A90C98,,,,,SOLAIO 015,0,-54.76,49.98,0.51,-54.61,50.03,0.61,,,,,,,,
1857,Slab,6D92B52A-4C03-0E4C-BAF1-1A8E323D2AF7,,,,,SOLAIO 015,0,-48.51,52.53,2.41,-48.36,52.58,2.56,,,,,,,,
1858,Slab,E8C67814-CBA3-5B48-B188-95BB7158A968,,,,,SOLAIO 015,0,-48.51,52.47,2.41,-48.36,52.52,2.56,,,,,,,,
1859,Slab,F43F8607-DD76-384A-B764-23DF50729DB7,,,,,SOLAIO 015,0,-49.24,52.44,2.41,-49.19,52.59,2.56,,,,,,,,
1860,Slab,3DFF032E-EF09-E44E-9AB8-3E1D8D30D690,,,,,SOLAIO 015,0,-49.3,52.44,2.41,-49.25,52.59,2.56,,,,,,,,
1861,Slab,E25799DD-0FD4-4142-B34D-39CC28F29FED,,,,,SOLAIO 012,0,-46.47,48.39,0.77,-46.32,48.54,0.88,,,,,,,,
1862,Slab,8567D08D-B2AB-7C40-A001-24A45D4EA68C,,,,,SOLAIO 012,0,-46.67,48.29,0.88,-45.99,48.64,0.9,,,,,,,,
1863,Slab,ED705589-C43F-D241-969E-9E5C8955FC5C,,,,,SOLAIO 015,0,-54.45,49.86,1.92,-54.4,49.98,2.1,,,,,,,,
1864,Slab,0C5B9DE1-C00B-4145-B3A5-3CE5882F842C,,,,,SOLAIO 015,0,-54.45,50.03,2.52,-54.4,50.18,2.62,,,,,,,,
1865,Slab,67FDC416-6E52-F74B-9850-5D55D4B77CD5,,,,,SOLAIO 015,0,-48.06,51.19,0.31,-48.01,51.26,0.45,,,,,,,,
