node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid,label_guid
1455,Slab,236BCF56-173F-45C3-AC99-9C3042E4B4C0,,,,VRF,0,0.1,-35.72,58.4,1.06,-34.76,60.0,,,,,,,,,,
1456,Slab,C742F86D-F446-446A-8DDF-42AF3FE0E876,,,,VRF,0,-0.11,-34.8,58.4,0.85,-33.84,60.0,,,,,,,,,,
1457,Slab,5A7ABC12-251D-4B79-BA58-35D1064580F6,,,,VRF,0,-0.31,-33.88,58.4,0.64,-32.92,60.0,,,,,,,,,,
1458,Slab,7BF0A3E2-56E6-4636-AFB4-89433047BE55,,,,VRF,0,-2.18,-32.36,58.4,-1.22,-31.41,60.0,,,,,,,,,,
1459,Slab,28C45D03-DCD0-456D-8A95-FF1288921399,,,,VRF,0,-3.55,-32.67,58.4,-2.59,-31.72,60.0,,,,,,,,,,
1460,Slab,4C5227D8-7AAF-4A60-8FFB-4033DF7158CA,,,,VRF,0,-4.91,-32.98,58.4,-3.95,-32.02,60.0,,,,,,,,,,
1461,Slab,BBED5AED-25FB-4C9D-BF69-2230AF51CB5D,,,,VRF,0,-6.28,-33.29,58.4,-5.32,-32.33,60.0,,,,,,,,,,
1462,Slab,10F2964B-E80D-4B81-A03C-75F01FFB9F82,,,,VRF,0,-0.72,-38.81,58.4,0.24,-37.85,60.0,,,,,,,,,,
1463,Slab,B4DB6659-2FF9-49BA-A383-ECC3C1368BDC,,,,VRF,0,-0.93,-37.89,58.4,0.03,-36.93,60.0,,,,,,,,,,
1464,Slab,FA6A6257-5DD9-4470-BB35-B797C0D846F6,,,,VRF,0,-1.14,-36.97,58.4,-0.18,-36.01,60.0,,,,,,,,,,
1465,Slab,F9135F0F-1F4C-4075-9621-8E2679B41F7A,,,,VRF,0,-1.35,-36.04,58.4,-0.39,-35.09,60.0,,,,,,,,,,
1466,Slab,09799767-059F-430F-B422-8BFC282017F7,,,,VRF,0,-1.56,-35.12,58.4,-0.6,-34.17,60.0,,,,,,,,,,
1467,Slab,EDDFBCFF-3C98-431B-8E0B-59869E138D8E,,,,VRF,0,-1.76,-34.2,58.4,-0.81,-33.25,60.0,,,,,,,,,,
1468,Slab,0F820258-34FA-4CEB-9C30-62F12C854C72,,,,VRF,0,-2.09,-39.12,58.4,-1.13,-38.16,60.0,,,,,,,,,,
1469,Slab,3A92AFE4-CA85-4260-A3F2-2A7D18BB12A3,,,,VRF,0,-2.3,-38.19,58.4,-1.34,-37.24,60.0,,,,,,,,,,
1470,Slab,6DD467CA-62AF-49F6-8129-A183B7B932B7,,,,VRF,0,-2.5,-37.27,58.4,-1.55,-36.32,60.0,,,,,,,,,,
