node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,embedded_door_guid,label_type,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
2542,DimText 566,BD2B879B-E162-8842-9DF6-40525A02B0E4,,146,,-49.36,54.94,Dim Text 566,-49.36,54.94,0.0,-48.86,55.44,0.0,,,,,,,,,,
2543,DimText 567,BD2B879B-E162-8842-9DF6-40525A02B0E4,,4,,-49.36,55.71,Dim Text 567,-49.36,55.71,0.0,-48.86,56.21,0.0,,,,,,,,,,
2544,DimText 568,74144092-1256-A541-A51C-B15C6A38DA57,,0,,-49.3,54.48,Dim Text 568,-49.3,54.48,0.0,-48.8,54.98,0.0,,,,,,,,,,
2545,DimText 569,74144092-1256-A541-A51C-B15C6A38DA57,,120,,-48.77,54.48,Dim Text 569,-48.77,54.48,0.0,-48.27,54.98,0.0,,,,,,,,,,
2546,DimText 570,FE2C4A39-FCEA-B648-86AD-BFEF21F01B37,,0,,-47.95,54.97,Dim Text 570,-47.95,54.97,0.0,-47.45,55.47,0.0,,,,,,,,,,
2547,DimText 571,FE2C4A39-FCEA-B648-86AD-BFEF21F01B37,,84,,-47.95,55.35,Dim Text 571,-47.95,55.35,0.0,-47.45,55.85,0.0,,,,,,,,,,
2548,DimText 572,E17E1601-A161-A640-8245-354EE676E4E2,,0,,-51.22,55.94,Dim Text 572,-51.22,55.94,0.0,-50.72,56.44,0.0,,,,,,,,,,
2549,DimText 573,E17E1601-A161-A640-8245-354EE676E4E2,,47,,-51.02,55.94,Dim Text 573,-51.02,55.94,0.0,-50.52,56.44,0.0,,,,,,,,,,
2550,DimText 574,E17E1601-A161-A640-8245-354EE676E4E2,,269,,-49.48,55.94,Dim Text 574,-49.48,55.94,0.0,-48.98,56.44,0.0,,,,,,,,,,
2551,DimText 575,0FAAD986-341C-A14B-8DD2-B77B2A9CA42F,,0,,-48.19,54.33,Dim Text 575,-48.19,54.33,0.0,-47.69,54.83,0.0,,,,,,,,,,
2552,DimText 576,0FAAD986-341C-A14B-8DD2-B77B2A9CA42F,,144,,-48.19,54.99,Dim Text 576,-48.19,54.99,0.0,-47.69,55.49,0.0,,,,,,,,,,
2553,DimText 577,F8B2FF2F-3BC9-7C43-A2A9-4101A54B136D,,0,,-48.92,49.32,Dim Text 577,-48.92,49.32,0.0,-48.42,49.82,0.0,,,,,,,,,,
2554,DimText 578,F8B2FF2F-3BC9-7C43-A2A9-4101A54B136D,,40,,-48.92,49.48,Dim Text 578,-48.92,49.48,0.0,-48.42,49.98,0.0,,,,,,,,,,
2555,DimText 579,F8B2FF2F-3BC9-7C43-A2A9-4101A54B136D,,86,,-48.92,50.11,Dim Text 579,-48.92,50.11,0.0,-48.42,50.61,0.0,,,,,,,,,,
2556,DimText 580,585C0A9C-44B1-8642-A76A-F76D7640B341,,0,,-50.35,50.51,Dim Text 580,-50.35,50.51,0.0,-49.85,51.01,0.0,,,,,,,,,,
2557,DimText 581,585C0A9C-44B1-8642-A76A-F76D7640B341,,21,,-50.27,50.51,Dim Text 581,-50.27,50.51,0.0,-49.77,51.01,0.0,,,,,,,,,,
2558,DimText 582,585C0A9C-44B1-8642-A76A-F76D7640B341,,76,,-49.92,50.51,Dim Text 582,-49.92,50.51,0.0,-49.42,51.01,0.0,,,,,,,,,,
2559,DimText 583,585C0A9C-44B1-8642-A76A-F76D7640B341,,"12,5",,-49.61,50.51,Dim Text 583,-49.61,50.51,0.0,-49.11,51.01,0.0,,,,,,,,,,
2560,DimText 584,585C0A9C-44B1-8642-A76A-F76D7640B341,,35,,-49.12,50.51,Dim Text 584,-49.12,50.51,0.0,-48.62,51.01,0.0,,,,,,,,,,
2561,DimText 585,585C0A9C-44B1-8642-A76A-F76D7640B341,,"12,5",,-48.72,50.51,Dim Text 585,-48.72,50.51,0.0,-48.22,51.01,0.0,,,,,,,,,,
2562,DimText 586,F40C3A57-C892-D440-8C5D-B466F5F43FD6,,0,,-49.26,50.76,Dim Text 586,-49.26,50.76,0.0,-48.76,51.26,0.0,,,,,,,,,,
2563,DimText 587,F40C3A57-C892-D440-8C5D-B466F5F43FD6,,35,,-49.12,50.76,Dim Text 587,-49.12,50.76,0.0,-48.62,51.26,0.0,,,,,,,,,,
2564,DimText 588,DC2E06B2-C462-934C-8D59-AB99A8A15EA9,,0,,-49.18,50.62,Dim Text 588,-49.18,50.62,0.0,-48.68,51.12,0.0,,,,,,,,,,
2565,DimText 589,DC2E06B2-C462-934C-8D59-AB99A8A15EA9,,35,,-49.18,50.76,Dim Text 589,-49.18,50.76,0.0,-48.68,51.26,0.0,,,,,,,,,,
2566,DimText 590,DF4153A3-2FC2-6247-ADFD-A04F1FA4015F,,0,,-49.61,50.57,Dim Text 590,-49.61,50.57,0.0,-49.11,51.07,0.0,,,,,,,,,,
2567,DimText 591,DF4153A3-2FC2-6247-ADFD-A04F1FA4015F,,5,,-49.61,50.51,Dim Text 591,-49.61,50.51,0.0,-49.11,51.01,0.0,,,,,,,,,,
2568,DimText 592,1DEBB393-060E-6545-A5C3-2D80FA81EEE8,,0,,-50.24,50.57,Dim Text 592,-50.24,50.57,0.0,-49.74,51.07,0.0,,,,,,,,,,
2569,DimText 593,1DEBB393-060E-6545-A5C3-2D80FA81EEE8,,55,,-50.24,50.77,Dim Text 593,-50.24,50.77,0.0,-49.74,51.27,0.0,,,,,,,,,,
2570,DimText 594,1DEBB393-060E-6545-A5C3-2D80FA81EEE8,,8,,-50.24,51.06,Dim Text 594,-50.24,51.06,0.0,-49.74,51.56,0.0,,,,,,,,,,
2571,DimText 595,1DEBB393-060E-6545-A5C3-2D80FA81EEE8,,5,,-50.24,51.32,Dim Text 595,-50.24,51.32,0.0,-49.74,51.82,0.0,,,,,,,,,,
2572,DimText 596,1DEBB393-060E-6545-A5C3-2D80FA81EEE8,,17,,-50.24,51.49,Dim Text 596,-50.24,51.49,0.0,-49.74,51.99,0.0,,,,,,,,,,
2573,DimText 597,C41E6B4F-D96E-2546-B4B9-6BEC8C401D36,,0,,-50.05,51.13,Dim Text 597,-50.05,51.13,0.0,-49.55,51.63,0.0,,,,,,,,,,
